iter	Passed	Remaining
0	47	33356
1	93	32718
2	141	32833
3	189	32994
4	459	63815
5	527	61029
6	575	56950
7	611	52934
8	652	50115
9	693	47817
10	729	45707
11	885	50743
12	1078	56979
13	1328	65088
14	1576	71973
15	1755	75029
16	1944	78112
17	2144	81268
18	2328	83467
19	2512	85412
20	2698	87259
21	2898	89317
22	3104	91376
23	3279	92376
24	3468	93662
25	3798	98458
26	3976	99126
27	4152	99662
28	4287	99198
29	4341	96967
30	4391	94774
31	4444	92776
32	4503	91015
33	4815	94322
34	5014	95279
35	5218	96250
36	5431	97322
37	5692	99177
38	5937	100630
39	5998	98968
40	6049	97241
41	6089	95399
42	6129	93658
43	6169	91988
44	6209	90385
45	6248	88836
46	6287	87362
47	6427	87308
48	6558	87131
49	6753	87798
50	6839	87032
51	6885	85808
52	6934	84647
53	6990	83633
54	7068	82896
55	7138	82093
56	7209	81327
57	7279	80575
58	7344	79790
59	7416	79112
60	7482	78385
61	7577	77973
62	7708	77942
63	7783	77348
64	7854	76728
65	7934	76218
66	8246	77912
67	8303	77172
68	8347	76339
69	8398	75587
70	8461	74960
71	8526	74367
72	8576	73660
73	8634	73045
74	8681	72346
75	8746	71817
76	8806	71254
77	8866	70703
78	8920	70122
79	8984	69627
80	9058	69226
81	9118	68720
82	9187	68299
83	9253	67859
84	9312	67377
85	9378	66957
86	9464	66685
87	9524	66240
88	9572	65715
89	9623	65229
90	9691	64855
91	9753	64456
92	9811	64036
93	9863	63588
94	9908	63103
95	9958	62658
96	10006	62206
97	10054	61761
98	10198	61913
99	10260	61563
100	10320	61206
101	10370	60796
102	10428	60444
103	10476	60039
104	10521	59624
105	10566	59212
106	10618	58845
107	10677	58525
108	10727	58163
109	10778	57814
110	10817	57398
111	10858	57004
112	10904	56645
113	10971	56397
114	11018	56048
115	11064	55706
116	11129	55458
117	11191	55196
118	11246	54910
119	11295	54595
120	11350	54314
121	11437	54189
122	11495	53924
123	11548	53643
124	11586	53298
125	11624	52956
126	11663	52621
127	11698	52278
128	11735	51946
129	11775	51629
130	12103	52571
131	12162	52333
132	12217	52084
133	12272	51838
134	12322	51572
135	12371	51306
136	12419	51035
137	12476	50809
138	12527	50562
139	12572	50289
140	12627	50061
141	12683	49840
142	12735	49606
143	12775	49328
144	12813	49043
145	12850	48761
146	12886	48478
147	12924	48206
148	12973	47977
149	13022	47748
150	13065	47501
151	13103	47242
152	13141	46982
153	13187	46754
154	13240	46555
155	13287	46334
156	13324	46084
157	13360	45832
158	13406	45616
159	13459	45425
160	13510	45231
161	13569	45063
162	13622	44878
163	13682	44718
164	13726	44507
165	13767	44289
166	13805	44061
167	13846	43847
168	13882	43619
169	13921	43403
170	13961	43189
171	13998	42971
172	14182	43202
173	14389	43498
174	14677	44032
175	14915	44406
176	15113	44656
177	15285	44826
178	15507	45135
179	15593	45048
180	15717	45067
181	15812	45004
182	16005	45217
183	16124	45218
184	16236	45197
185	16309	45069
186	16386	44952
187	16451	44804
188	16518	44660
189	16579	44502
190	16646	44362
191	16712	44218
192	16771	44058
